player,market,line,side,dfs_book,fair_prob,edge,fair_american,num_books,matchup,commence_time,snapshot_at
Jaylon Tyson,player_points,5.5,Under,prizepicks,0.5056359888745947,0.005635988874594711,-102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Under,underdog,0.5056359888745947,0.005635988874594711,-102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Under,betr_us_dfs,0.5056359888745947,0.005635988874594711,-102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Under,pick6,0.5056359888745947,0.005635988874594711,-102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Over,prizepicks,0.5034716959663197,0.003471695966319688,-101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Over,underdog,0.5034716959663197,0.003471695966319688,-101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Over,betr_us_dfs,0.5034716959663197,0.003471695966319688,-101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Over,pick6,0.5034716959663197,0.003471695966319688,-101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Under,prizepicks,0.500027193434362,2.7193434361971747e-05,-100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Under,underdog,0.500027193434362,2.7193434361971747e-05,-100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Under,betr_us_dfs,0.500027193434362,2.7193434361971747e-05,-100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Under,pick6,0.500027193434362,2.7193434361971747e-05,-100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Over,prizepicks,0.4999728065656381,-2.7193434361916236e-05,100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Over,underdog,0.4999728065656381,-2.7193434361916236e-05,100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Over,betr_us_dfs,0.4999728065656381,-2.7193434361916236e-05,100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jarrett Allen,player_points,12.5,Over,pick6,0.4999728065656381,-2.7193434361916236e-05,100,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Under,prizepicks,0.49652830403368037,-0.0034716959663196323,101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Under,underdog,0.49652830403368037,-0.0034716959663196323,101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Under,betr_us_dfs,0.49652830403368037,-0.0034716959663196323,101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Tobias Harris,player_points,18.5,Under,pick6,0.49652830403368037,-0.0034716959663196323,101,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Over,prizepicks,0.49436401112540523,-0.005635988874594766,102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Over,underdog,0.49436401112540523,-0.005635988874594766,102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Over,betr_us_dfs,0.49436401112540523,-0.005635988874594766,102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jaylon Tyson,player_points,5.5,Over,pick6,0.49436401112540523,-0.005635988874594766,102,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Over,prizepicks,0.4943119509064008,-0.005688049093599212,102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Over,underdog,0.4943119509064008,-0.005688049093599212,102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Over,betr_us_dfs,0.4943119509064008,-0.005688049093599212,102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
James Harden,player_points,18.5,Over,pick6,0.4943119509064008,-0.005688049093599212,102,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,26.5,Under,prizepicks,0.4920329839193936,-0.007967016080606404,103,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,26.5,Under,underdog,0.4920329839193936,-0.007967016080606404,103,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,26.5,Under,betr_us_dfs,0.4920329839193936,-0.007967016080606404,103,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dean Wade,player_points,3.5,Over,prizepicks,0.49024219723855045,-0.009757802761449552,104,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dean Wade,player_points,3.5,Over,betr_us_dfs,0.49024219723855045,-0.009757802761449552,104,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dean Wade,player_points,3.5,Over,pick6,0.49024219723855045,-0.009757802761449552,104,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dennis Schroder,player_points,6.5,Under,prizepicks,0.4889087574997046,-0.011091242500295417,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dennis Schroder,player_points,6.5,Under,underdog,0.4889087574997046,-0.011091242500295417,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dennis Schroder,player_points,6.5,Under,betr_us_dfs,0.4889087574997046,-0.011091242500295417,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Dennis Schroder,player_points,6.5,Under,pick6,0.4889087574997046,-0.011091242500295417,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Duncan Robinson,player_points,11.5,Under,prizepicks,0.4884867271358719,-0.011513272864128121,105,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Duncan Robinson,player_points,11.5,Under,underdog,0.4884867271358719,-0.011513272864128121,105,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Duncan Robinson,player_points,11.5,Under,betr_us_dfs,0.4884867271358719,-0.011513272864128121,105,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Duncan Robinson,player_points,11.5,Under,pick6,0.4884867271358719,-0.011513272864128121,105,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Evan Mobley,player_points,15.5,Over,prizepicks,0.4882590781657798,-0.011740921834220208,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Evan Mobley,player_points,15.5,Over,betr_us_dfs,0.4882590781657798,-0.011740921834220208,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Evan Mobley,player_points,15.5,Over,pick6,0.4882590781657798,-0.011740921834220208,105,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Cade Cunningham,player_points,27.5,Over,betr_us_dfs,0.48584002769096996,-0.014159972309030044,106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Cade Cunningham,player_points,27.5,Over,pick6,0.48584002769096996,-0.014159972309030044,106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Max Strus,player_points,8.5,Over,prizepicks,0.48487547500227923,-0.015124524997720767,106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Max Strus,player_points,8.5,Over,betr_us_dfs,0.48487547500227923,-0.015124524997720767,106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Max Strus,player_points,8.5,Over,pick6,0.48487547500227923,-0.015124524997720767,106,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Donovan Mitchell,player_points,27.5,Over,pick6,0.48211456299691596,-0.017885437003084037,107,3,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Over,prizepicks,0.4802502931667031,-0.01974970683329691,108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Over,underdog,0.4802502931667031,-0.01974970683329691,108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Over,betr_us_dfs,0.4802502931667031,-0.01974970683329691,108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Jalen Duren,player_points,13.5,Over,pick6,0.4802502931667031,-0.01974970683329691,108,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Sam Merrill,player_points,5.5,Under,prizepicks,0.4761060452549814,-0.023893954745018597,110,2,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Isaiah Stewart II,player_points,3.5,Over,prizepicks,0.4748010610079576,-0.025198938992042397,111,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Isaiah Stewart II,player_points,3.5,Over,betr_us_dfs,0.4748010610079576,-0.025198938992042397,111,1,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Ausar Thompson,player_points,9.5,Over,betr_us_dfs,0.4743432929548842,-0.0256567070451158,111,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Ausar Thompson,player_points,9.5,Over,pick6,0.4743432929548842,-0.0256567070451158,111,4,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Daniss Jenkins,player_points,9.5,Over,betr_us_dfs,0.4733647455143952,-0.026635254485604776,111,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
Daniss Jenkins,player_points,9.5,Over,pick6,0.4733647455143952,-0.026635254485604776,111,5,Detroit Pistons @ Cleveland Cavaliers,2026-05-12 00:10:00+00:00,2026-05-11 18:04:52.183314+00:00
